Country,Latitude,Longitude,bcm,Year,MMscfd,Field  Type,Field Name,Field  Operator,state,Flare Level,flaring_vol_m3,carbon_emissions_ton,estimated_regulatory_fine_usd,operators_per_country,operator_global_rank,location_global_rank,previous_year_flare,yoy_percentage_change
Nigeria,4.3166,8.3671,0.16,2016,15.501,OIL,Adanga,Addax,OFFSHORE,Medium,160.21,384504.0,560735.0,28,69,2,147154.2,-3.97
Nigeria,4.3168,8.3667,0.15,2015,14.551,OIL,Adanga,Addax,OFFSHORE,Medium,150.39,360935.99999999994,526365.0,28,69,2,144991.55,1.49
Nigeria,5.619,6.8147,0.048,2020,4.637,OIL,Izombe,Addax,ONSHORE,Small,47.92,115008.0,167720.0,28,69,1,148435.46,-4.79
Nigeria,4.2717,8.3381,0.015,2020,1.45,OIL,Ebughu,Addax,OFFSHORE,Small,14.99,35976.0,52465.0,28,69,2,148435.46,-4.79
Nigeria,4.3168,8.3663,0.109,2020,10.52,OIL,Adanga,Addax,OFFSHORE,Medium,108.74,260976.0,380590.0,28,69,2,148435.46,-4.79
Nigeria,4.243,8.3225,0.0,2015,0.0,OIL,Mimbo,Addax,OFFSHORE,Small,0.0,0.0,0.0,28,69,2,144991.55,1.49
Nigeria,4.3539,8.2452,0.047,2013,4.511,OIL,Akam,Addax,OFFSHORE,Small,46.63,111912.0,163205.0,28,69,2,143266.91,-2.2
Nigeria,4.3163,8.3666,0.17,2018,16.489,OIL,Adanga,Addax,OFFSHORE,Medium,170.43,409032.0,596505.0,28,69,2,140724.84,2.87
Nigeria,3.8547,6.9808,0.046,2016,4.443,OIL,Okwori,Addax,OFFSHORE,Small,45.92,110208.0,160720.0,28,69,2,147154.2,-3.97
Nigeria,4.2719,8.3381,0.028,2018,2.754,OIL,Ebughu,Addax,OFFSHORE,Small,28.46,68304.0,99610.0,28,69,2,140724.84,2.87
Nigeria,5.6189,6.8145,0.061,2018,5.911,OIL,Izombe,Addax,ONSHORE,Medium,61.1,146640.0,213850.0,28,69,1,140724.84,2.87
Nigeria,4.243,8.3229,0.004,2018,0.412,OIL,Mimbo,Addax,OFFSHORE,Small,4.26,10224.0,14910.0,28,69,2,140724.84,2.87
Nigeria,4.2203,8.3339,0.006,2016,0.542,OIL,Mimbo,Addax,OFFSHORE,Small,5.6,13440.0,19600.0,28,69,2,147154.2,-3.97
Nigeria,3.855,6.9802,0.065,2015,6.328,OIL,Okwori,Addax,OFFSHORE,Medium,65.4,156960.0,228900.00000000003,28,69,2,144991.55,1.49
Nigeria,4.2212,8.3345,0.003,2018,0.325,OIL,Mimbo,Addax,OFFSHORE,Small,3.36,8064.0,11760.0,28,69,2,140724.84,2.87
Nigeria,5.6193,6.8147,0.05,2016,4.815,OIL,Izombe,Addax,ONSHORE,Small,49.77,119448.00000000001,174195.0,28,69,1,147154.2,-3.97
Nigeria,4.2716,8.3379,0.046,2016,4.433,OIL,Ebughu,Addax,OFFSHORE,Small,45.81,109944.0,160335.0,28,69,2,147154.2,-3.97
Nigeria,4.2718,8.3379,0.066,2013,6.373,OIL,Ebughu,Addax,OFFSHORE,Medium,65.86,158064.0,230510.0,28,69,2,143266.91,-2.2
Nigeria,4.3533,8.2453,0.02,2016,1.916,OIL,Akam,Addax,OFFSHORE,Small,19.81,47544.0,69335.0,28,69,2,147154.2,-3.97
Nigeria,3.8546,6.9802,0.034,2018,3.291,OIL,Okwori,Addax,OFFSHORE,Small,34.02,81648.000000000015,119070.0,28,69,2,140724.84,2.87
Nigeria,4.354,8.246,0.007,2021,0.689,OIL,Oron West,Addax,OFFSHORE,Small,7.12,17088.0,24920.0,28,69,2,141325.15,1.51
Nigeria,3.855,6.981,0.012,2021,1.116,OIL,Okwori,Addax,OFFSHORE,Small,11.54,27695.999999999996,40390.0,28,69,2,141325.15,1.51
Nigeria,5.619,6.815,0.051,2021,4.96,OIL,Izombe,Addax,ONSHORE,Small,51.27,123048.00000000001,179445.0,28,69,1,141325.15,1.51
Nigeria,4.272,8.338,0.029,2021,2.789,OIL,Ebughu East,Addax,OFFSHORE,Small,28.82,69168.0,100870.0,28,69,2,141325.15,1.51
Nigeria,4.317,8.366,0.058,2021,5.627,OIL,Adanga,Addax,OFFSHORE,Medium,58.16,139584.0,203560.0,28,69,2,141325.15,1.51
Nigeria,4.3167,8.3665,0.147,2019,14.265,OIL,Adanga,Addax,OFFSHORE,Medium,147.43,353832.0,516005.0,28,69,2,144763.09,2.54
Nigeria,4.2716,8.3382,0.036,2019,3.479,OIL,Ebughu,Addax,OFFSHORE,Small,35.96,86304.0,125860.0,28,69,2,144763.09,2.54
Nigeria,5.6188,6.8147,0.047,2019,4.543,OIL,Izombe,Addax,ONSHORE,Small,46.96,112704.0,164360.0,28,69,1,144763.09,2.54
Nigeria,3.8546,6.9805,0.046,2019,4.449,OIL,Okwori,Addax,OFFSHORE,Small,45.98,110351.99999999999,160930.0,28,69,2,144763.09,2.54
Nigeria,5.6194,6.815,0.086,2013,8.346,OIL,Izombe,Addax,ONSHORE,Medium,86.26,207024.0,301910.0,28,69,1,143266.91,-2.2
Nigeria,4.3168,8.3667,0.133,2012,12.879,OIL,Adanga,Addax,OFFSHORE,Medium,133.11,319464.00000000006,465885.00000000006,28,69,2,,
Nigeria,4.3539,8.2452,0.044,2012,4.235,OIL,Akam,Addax,OFFSHORE,Small,43.77,105048.00000000001,153195.0,28,69,2,,
Nigeria,4.2718,8.3379,0.067,2012,6.498,OIL,Ebughu,Addax,OFFSHORE,Medium,67.16,161184.0,235060.0,28,69,2,,
Nigeria,5.6194,6.815,0.11,2012,10.607,OIL,Izombe,Addax,ONSHORE,Medium,109.63,263112.0,383705.0,28,69,1,,
Nigeria,4.221,8.334,0.028,2012,2.715,OIL,Mimbo,Addax,OFFSHORE,Small,28.06,67344.0,98210.0,28,69,2,,
Nigeria,4.243,8.3225,0.025,2012,2.458,OIL,Mimbo,Addax,OFFSHORE,Small,25.4,60960.0,88900.0,28,69,2,,
Nigeria,4.3172,8.3658,0.049,2022,4.774,OIL,Adanga,Addax,OFFSHORE,Small,49.34,118416.00000000001,172690.0,28,69,2,143452.57,-3.42
Nigeria,4.2718,8.3382,0.035,2022,3.383,OIL,Ebughu,Addax,OFFSHORE,Small,34.97,83928.0,122395.0,28,69,2,143452.57,-3.42
Nigeria,3.855,6.9802,0.104,2012,10.053,OIL,Okwori,Addax,OFFSHORE,Medium,103.9,249360.0,363650.0,28,69,2,,
Nigeria,4.221,8.334,0.03,2013,2.939,OIL,Mimbo,Addax,OFFSHORE,Small,30.38,72912.0,106330.0,28,69,2,143266.91,-2.2
Nigeria,4.3168,8.3667,0.11,2014,10.612,OIL,Adanga,Addax,OFFSHORE,Medium,109.69,263256.0,383915.0,28,69,2,140119.37,3.48
Nigeria,4.3539,8.2452,0.031,2014,3.013,OIL,Akam,Addax,OFFSHORE,Small,31.14,74736.0,108990.0,28,69,2,140119.37,3.48
Nigeria,4.2718,8.3379,0.063,2014,6.093,OIL,Ebughu,Addax,OFFSHORE,Medium,62.98,151152.0,220430.0,28,69,2,140119.37,3.48
Nigeria,5.6194,6.815,0.069,2014,6.642,OIL,Izombe,Addax,ONSHORE,Medium,68.64,164736.0,240240.0,28,69,1,140119.37,3.48
Nigeria,4.221,8.334,0.022,2014,2.165,OIL,Mimbo,Addax,OFFSHORE,Small,22.38,53712.0,78330.0,28,69,2,140119.37,3.48
Nigeria,4.243,8.3225,0.0,2014,0.0,OIL,Mimbo,Addax,OFFSHORE,Small,0.0,0.0,0.0,28,69,2,140119.37,3.48
Nigeria,3.855,6.9802,0.121,2014,11.699,OIL,Okwori,Addax,OFFSHORE,Medium,120.91,290184.0,423185.0,28,69,2,140119.37,3.48
Nigeria,4.243,8.3225,0.0,2013,0.0,OIL,Mimbo,Addax,OFFSHORE,Small,0.0,0.0,0.0,28,69,2,143266.91,-2.2
Nigeria,3.855,6.9802,0.109,2013,10.513,OIL,Okwori,Addax,OFFSHORE,Medium,108.66,260784.0,380310.0,28,69,2,143266.91,-2.2
Nigeria,4.3539,8.246,0.03,2022,2.894,OIL,Iba,Addax,OFFSHORE,Small,29.91,71784.0,104685.0,28,69,2,143452.57,-3.42
Nigeria,3.8549,6.9803,0.071,2017,6.853,OIL,Okwori,Addax,OFFSHORE,Medium,70.83,169992.0,247905.0,28,69,2,141317.04,-0.42
Nigeria,4.221,8.334,0.002,2017,0.212,OIL,Mimbo,Addax,OFFSHORE,Small,2.2,5280.0,7700.0,28,69,2,141317.04,-0.42
Nigeria,5.6194,6.8148,0.055,2017,5.34,OIL,Izombe,Addax,ONSHORE,Medium,55.19,132456.0,193165.0,28,69,1,141317.04,-0.42
Nigeria,4.2717,8.3379,0.032,2017,3.08,OIL,Ebughu,Addax,OFFSHORE,Small,31.84,76416.0,111440.0,28,69,2,141317.04,-0.42
Nigeria,4.3538,8.2453,0.005,2017,0.452,OIL,Akam,Addax,OFFSHORE,Small,4.67,11208.0,16345.0,28,69,2,141317.04,-0.42
Nigeria,4.3173,8.3388,0.001,2017,0.056,OIL,Adanga Southwest,Addax,OFFSHORE,Small,0.58,1392.0,2030.0,28,69,2,141317.04,-0.42
Nigeria,4.3165,8.3674,0.159,2017,15.345,OIL,Adanga,Addax,OFFSHORE,Medium,158.6,380640.0,555100.0,28,69,2,141317.04,-0.42
Nigeria,5.6192,6.8148,0.023,2022,2.182,OIL,Izombe,Addax,ONSHORE,Small,22.55,54120.0,78925.0,28,69,1,143452.57,-3.42
Nigeria,4.221,8.334,0.01,2015,0.995,OIL,Mimbo,Addax,OFFSHORE,Small,10.28,24672.0,35980.0,28,69,2,144991.55,1.49
Nigeria,5.6194,6.815,0.063,2015,6.059,OIL,Izombe,Addax,ONSHORE,Medium,62.62,150288.0,219170.0,28,69,1,144991.55,1.49
Nigeria,4.2718,8.3379,0.05,2015,4.865,OIL,Ebughu,Addax,OFFSHORE,Small,50.28,120672.0,175980.0,28,69,2,144991.55,1.49
Nigeria,4.3539,8.2452,0.029,2015,2.788,OIL,Akam,Addax,OFFSHORE,Small,28.81,69144.0,100835.0,28,69,2,144991.55,1.49
Nigeria,4.3168,8.3667,0.137,2013,13.277,OIL,Adanga,Addax,OFFSHORE,Medium,137.22,329328.0,480270.0,28,69,2,143266.91,-2.2
Nigeria,3.8546,6.9804,0.021,2022,2.06,OIL,Okwori South,Addax,OFFSHORE,Small,21.29,51096.0,74515.0,28,69,2,143452.57,-3.42
Nigeria,3.8546,6.9804,0.022,2020,2.114,OIL,Okwori,Addax,OFFSHORE,Small,21.85,52440.0,76475.0,28,69,2,148435.46,-4.79
Nigeria,4.4412,6.3613,0.044,2017,4.294,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,44.38,106512.0,155330.0,1,190,1,141317.04,-0.42
Nigeria,4.4534,6.3257,0.043,2017,4.117,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,42.55,102120.0,148925.0,1,190,1,141317.04,-0.42
Nigeria,4.4333,6.325,0.049,2017,4.781,OIL,Nembe Creek,Aiteo Eastern E&P Company,OFFSHORE,Small,49.41,118583.99999999999,172935.0,1,190,2,141317.04,-0.42
Nigeria,4.4517,6.2834,0.012,2017,1.147,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,11.86,28464.0,41510.0,1,190,1,141317.04,-0.42
Nigeria,4.4199,6.5175,0.013,2017,1.258,OIL,Odeama Creek,Aiteo Eastern E&P Company,ONSHORE,Small,13.01,31224.0,45535.0,1,190,1,141317.04,-0.42
Nigeria,4.5399,6.5034,0.028,2017,2.721,OIL,Santa Barbara,Aiteo Eastern E&P Company,ONSHORE,Small,28.12,67488.0,98420.0,1,190,1,141317.04,-0.42
Nigeria,4.4528,6.2833,0.00712,2024,0.689,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,7.12,17088.0,24920.0,1,190,1,147624.76,2.29
Nigeria,4.4538,6.3253,0.03789,2024,3.666,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,37.89,90936.0,132615.0,1,190,1,147624.76,2.29
Nigeria,4.4422,6.3612,0.03869,2024,3.743,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,38.69,92856.0,135415.0,1,190,1,147624.76,2.29
Nigeria,4.4347,6.3247,0.02105,2024,2.037,OIL,Nembe Creek,Aiteo Eastern E&P Company,OFFSHORE,Small,21.05,50520.0,73675.0,1,190,2,147624.76,2.29
Nigeria,4.5409,6.5033,0.00518,2024,0.501,OIL,Santa Barbara,Aiteo Eastern E&P Company,ONSHORE,Small,5.18,12432.0,18130.0,1,190,1,147624.76,2.29
Nigeria,4.5403,6.5033,0.01,2014,0.97,OIL,Santa Barbara,Aiteo Eastern E&P Company,ONSHORE,Small,10.02,24048.0,35070.0,1,190,1,140119.37,3.48
Nigeria,4.4201,6.5177,0.031,2014,3.018,OIL,Odeama Creek,Aiteo Eastern E&P Company,ONSHORE,Small,31.19,74856.0,109165.0,1,190,1,140119.37,3.48
Nigeria,4.4518,6.2836,0.002,2014,0.214,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,2.21,5304.0,7735.0,1,190,1,140119.37,3.48
Nigeria,4.4416,6.3615,0.023,2014,2.228,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,23.03,55272.0,80605.0,1,190,1,140119.37,3.48
Nigeria,4.4333,6.3249,0.021,2014,2.03,OIL,Nembe Creek,Aiteo Eastern E&P Company,OFFSHORE,Small,20.98,50352.0,73430.0,1,190,2,140119.37,3.48
Nigeria,4.4535,6.3258,0.022,2014,2.121,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,21.92,52608.000000000007,76720.0,1,190,1,140119.37,3.48
Nigeria,4.4416,6.3615,0.007,2013,0.665,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,6.88,16512.0,24080.0,1,190,1,143266.91,-2.2
Nigeria,4.5403,6.5033,0.017,2012,1.626,OIL,Santa Barbara,Aiteo Eastern E&P Company,ONSHORE,Small,16.81,40344.0,58835.0,1,190,1,,
Nigeria,4.4527,6.3254,0.011,2023,1.043,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,10.78,25872.0,37730.0,1,190,1,138548.47,6.55
Nigeria,4.4335,6.3249,0.014,2023,1.335,OIL,Nembe Creek,Aiteo Eastern E&P Company,OFFSHORE,Small,13.79,33096.0,48265.0,1,190,2,138548.47,6.55
Nigeria,4.4416,6.3616,0.013,2023,1.246,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,12.88,30912.000000000004,45080.0,1,190,1,138548.47,6.55
Nigeria,4.4517,6.2835,0.004,2023,0.386,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,3.99,9576.0,13965.0,1,190,1,138548.47,6.55
Nigeria,4.5398,6.5036,0.003,2023,0.318,OIL,Santa Barbara,Aiteo Eastern E&P Company,ONSHORE,Small,3.29,7896.0,11515.0,1,190,1,138548.47,6.55
Nigeria,4.5398,6.5036,0.033,2020,3.178,OIL,Santa Barbara,Aiteo Eastern E&P Company,ONSHORE,Small,32.85,78840.0,114975.0,1,190,1,148435.46,-4.79
Nigeria,4.42,6.517,0.02,2020,1.893,OIL,Odeama Creek,Aiteo Eastern E&P Company,ONSHORE,Small,19.57,46968.0,68495.0,1,190,1,148435.46,-4.79
Nigeria,4.4416,6.3616,0.043,2020,4.116,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,42.54,102096.0,148890.0,1,190,1,148435.46,-4.79
Nigeria,4.4516,6.2834,0.008,2020,0.758,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,7.83,18792.0,27405.0,1,190,1,148435.46,-4.79
Nigeria,4.4335,6.3248,0.047,2020,4.526,OIL,Nembe Creek,Aiteo Eastern E&P Company,OFFSHORE,Small,46.78,112272.0,163730.0,1,190,2,148435.46,-4.79
Nigeria,4.4526,6.3254,0.018,2020,1.709,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,17.66,42384.0,61810.0,1,190,1,148435.46,-4.79
Nigeria,4.54,6.503,0.021,2021,2.0,OIL,Santa Barbara,Aiteo Eastern E&P Company,ONSHORE,Small,20.67,49608.000000000007,72345.0,1,190,1,141325.15,1.51
Nigeria,4.5399,6.5034,0.004,2022,0.369,OIL,Santa Barbara Deep,Aiteo Eastern E&P Company,ONSHORE,Small,3.81,9144.0,13335.0,1,190,1,143452.57,-3.42
Nigeria,4.4203,6.517,0.0,2022,0.0,OIL,Odeama Creek,Aiteo Eastern E&P Company,ONSHORE,Small,0.0,0.0,0.0,1,190,1,143452.57,-3.42
Nigeria,4.4416,6.3615,0.014,2022,1.393,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,14.4,34560.0,50400.0,1,190,1,143452.57,-3.42
Nigeria,4.4339,6.3249,0.018,2022,1.707,OIL,Nembe Creek,Aiteo Eastern E&P Company,OFFSHORE,Small,17.65,42360.0,61775.0,1,190,2,143452.57,-3.42
Nigeria,4.4529,6.3252,0.006,2022,0.624,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,6.45,15480.0,22575.0,1,190,1,143452.57,-3.42
Nigeria,4.4517,6.2833,0.003,2022,0.331,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,3.42,8208.0,11970.0,1,190,1,143452.57,-3.42
Nigeria,4.5397,6.5036,0.015,2019,1.409,OIL,Santa Barbara,Aiteo Eastern E&P Company,ONSHORE,Small,14.56,34944.0,50960.0,1,190,1,144763.09,2.54
Nigeria,4.4199,6.5172,0.023,2019,2.197,OIL,Odeama Creek,Aiteo Eastern E&P Company,ONSHORE,Small,22.71,54504.0,79485.0,1,190,1,144763.09,2.54
Nigeria,4.4515,6.2837,0.006,2019,0.629,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,6.5,15600.0,22750.0,1,190,1,144763.09,2.54
Nigeria,4.4416,6.3617,0.023,2019,2.182,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,22.55,54120.0,78925.0,1,190,1,144763.09,2.54
Nigeria,4.42,6.517,0.008,2021,0.736,OIL,Odeama Creek,Aiteo Eastern E&P Company,ONSHORE,Small,7.61,18264.0,26635.0,1,190,1,141325.15,1.51
Nigeria,4.442,6.361,0.054,2021,5.256,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Medium,54.32,130368.0,190120.0,1,190,1,141325.15,1.51
Nigeria,4.434,6.325,0.063,2021,6.107,OIL,Nembe Creek,Aiteo Eastern E&P Company,OFFSHORE,Medium,63.12,151488.0,220920.0,1,190,2,141325.15,1.51
Nigeria,4.4335,6.3247,0.047,2018,4.549,OIL,Nembe Creek,Aiteo Eastern E&P Company,OFFSHORE,Small,47.02,112848.00000000001,164570.0,1,190,2,140724.84,2.87
Nigeria,4.4334,6.3248,0.022,2019,2.108,OIL,Nembe Creek,Aiteo Eastern E&P Company,OFFSHORE,Small,21.79,52296.0,76265.0,1,190,2,144763.09,2.54
Nigeria,4.4528,6.3255,0.023,2019,2.212,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,22.86,54864.0,80010.0,1,190,1,144763.09,2.54
Nigeria,4.4529,6.3255,0.038,2018,3.649,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,37.71,90504.0,131985.0,1,190,1,140724.84,2.87
Nigeria,4.4415,6.3613,0.029,2018,2.854,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,29.49,70776.0,103215.0,1,190,1,140724.84,2.87
Nigeria,4.4516,6.2838,0.012,2018,1.147,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,11.85,28440.0,41475.0,1,190,1,140724.84,2.87
Nigeria,4.4198,6.517,0.019,2018,1.799,OIL,Odeama Creek,Aiteo Eastern E&P Company,ONSHORE,Small,18.59,44616.0,65065.0,1,190,1,140724.84,2.87
Nigeria,4.5398,6.5034,0.029,2018,2.786,OIL,Santa Barbara,Aiteo Eastern E&P Company,ONSHORE,Small,28.79,69096.0,100765.0,1,190,1,140724.84,2.87
Nigeria,4.441,6.3608,0.06,2016,5.766,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Medium,59.59,143016.0,208565.0,1,190,1,147154.2,-3.97
Nigeria,4.4533,6.3257,0.057,2016,5.509,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Medium,56.94,136656.0,199290.0,1,190,1,147154.2,-3.97
Nigeria,4.4332,6.325,0.043,2016,4.129,OIL,Nembe Creek,Aiteo Eastern E&P Company,OFFSHORE,Small,42.68,102432.0,149380.0,1,190,2,147154.2,-3.97
Nigeria,4.4514,6.2833,0.014,2016,1.346,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,13.91,33384.0,48685.0,1,190,1,147154.2,-3.97
Nigeria,4.4198,6.5177,0.029,2016,2.827,OIL,Odeama Creek,Aiteo Eastern E&P Company,ONSHORE,Small,29.22,70128.0,102270.0,1,190,1,147154.2,-3.97
Nigeria,4.5397,6.5034,0.042,2016,4.027,OIL,Santa Barbara,Aiteo Eastern E&P Company,ONSHORE,Small,41.62,99888.0,145670.0,1,190,1,147154.2,-3.97
Nigeria,4.452,6.326,0.012,2021,1.199,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,12.4,29760.0,43400.0,1,190,1,141325.15,1.51
Nigeria,4.452,6.284,0.01,2021,0.932,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,9.63,23112.000000000004,33705.0,1,190,1,141325.15,1.51
Nigeria,4.5403,6.5033,0.01,2015,0.992,OIL,Santa Barbara,Aiteo Eastern E&P Company,ONSHORE,Small,10.25,24600.0,35875.0,1,190,1,144991.55,1.49
Nigeria,4.4201,6.5177,0.019,2015,1.836,OIL,Odeama Creek,Aiteo Eastern E&P Company,ONSHORE,Small,18.97,45528.0,66395.0,1,190,1,144991.55,1.49
Nigeria,4.4518,6.2836,0.004,2015,0.352,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,3.63,8712.0,12705.0,1,190,1,144991.55,1.49
Nigeria,4.4416,6.3615,0.033,2015,3.235,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,33.43,80232.0,117005.0,1,190,1,144991.55,1.49
Nigeria,4.4201,6.5177,0.0,2012,0.0,OIL,Odeama Creek,Aiteo Eastern E&P Company,ONSHORE,Small,0.0,0.0,0.0,1,190,1,,
Nigeria,4.4518,6.2836,0.005,2012,0.518,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,5.35,12840.0,18725.0,1,190,1,,
Nigeria,4.4333,6.3249,0.021,2015,2.014,OIL,Nembe Creek,Aiteo Eastern E&P Company,OFFSHORE,Small,20.82,49968.0,72870.0,1,190,2,144991.55,1.49
Nigeria,4.4535,6.3258,0.034,2015,3.331,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,34.42,82608.0,120470.0,1,190,1,144991.55,1.49
Nigeria,4.4333,6.3249,0.008,2013,0.78,OIL,Nembe Creek,Aiteo Eastern E&P Company,OFFSHORE,Small,8.06,19344.0,28210.000000000004,1,190,2,143266.91,-2.2
Nigeria,4.4535,6.3258,0.015,2013,1.429,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,14.77,35448.0,51695.0,1,190,1,143266.91,-2.2
Nigeria,4.4416,6.3615,0.014,2012,1.316,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,13.6,32640.0,47600.0,1,190,1,,
Nigeria,4.4333,6.3249,0.012,2012,1.177,OIL,Nembe Creek,Aiteo Eastern E&P Company,OFFSHORE,Small,12.16,29184.0,42560.0,1,190,2,,
Nigeria,4.4535,6.3258,0.013,2012,1.273,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,13.15,31560.0,46025.0,1,190,1,,
Nigeria,4.5403,6.5033,0.016,2013,1.576,OIL,Santa Barbara,Aiteo Eastern E&P Company,ONSHORE,Small,16.29,39096.0,57015.0,1,190,1,143266.91,-2.2
Nigeria,4.4201,6.5177,0.0,2013,0.0,OIL,Odeama Creek,Aiteo Eastern E&P Company,ONSHORE,Small,0.0,0.0,0.0,1,190,1,143266.91,-2.2
Nigeria,4.4518,6.2836,0.002,2013,0.155,OIL,Nembe Creek,Aiteo Eastern E&P Company,ONSHORE,Small,1.6,3840.0,5600.0,1,190,1,143266.91,-2.2
Nigeria,5.1448,6.9201,0.01515,2024,1.466,OIL,Ubima,All Grace Energy,ONSHORE,Small,15.15,36360.0,53025.0,1,1171,1,147624.76,2.29
Nigeria,5.1436,6.9204,0.009,2023,0.904,OIL,Ubima,All Grace Energy,ONSHORE,Small,9.35,22440.0,32725.0,1,1171,1,138548.47,6.55
Nigeria,4.4039,7.8284,0.077,2017,7.459,OIL,Okoro,Amni International,OFFSHORE,Medium,77.09,185016.0,269815.0,1,259,2,141317.04,-0.42
Nigeria,4.4051,7.8282,0.02901,2024,2.807,OIL,Okoro,Amni International,OFFSHORE,Small,29.01,69624.0,101535.0,1,259,2,147624.76,2.29
Nigeria,4.3499,7.3122,0.054,2013,5.231,GAS,Ima Gas,Amni International,OFFSHORE,Medium,54.07,129768.0,189245.0,1,259,2,143266.91,-2.2
Nigeria,4.4038,7.8284,0.074,2013,7.185,OIL,Okoro,Amni International,OFFSHORE,Medium,74.26,178224.0,259910.0,1,259,2,143266.91,-2.2
Nigeria,4.3499,7.3122,0.011,2014,1.061,GAS,Ima Gas,Amni International,OFFSHORE,Small,10.97,26328.0,38395.0,1,259,2,140119.37,3.48
Nigeria,4.404,7.829,0.056,2021,5.459,OIL,Okoro,Amni International,OFFSHORE,Medium,56.42,135408.0,197470.0,1,259,2,141325.15,1.51
Nigeria,4.4038,7.8284,0.073,2014,7.055,OIL,Okoro,Amni International,OFFSHORE,Medium,72.92,175008.0,255220.0,1,259,2,140119.37,3.48
Nigeria,4.4041,7.8285,0.069,2018,6.666,OIL,Okoro,Amni International,OFFSHORE,Medium,68.89,165336.0,241115.0,1,259,2,140724.84,2.87
Nigeria,4.3499,7.3122,0.017,2015,1.604,GAS,Ima Gas,Amni International,OFFSHORE,Small,16.58,39791.999999999993,58029.999999999993,1,259,2,144991.55,1.49
Nigeria,4.4038,7.8284,0.047,2015,4.583,OIL,Okoro,Amni International,OFFSHORE,Small,47.36,113664.0,165760.0,1,259,2,144991.55,1.49
Nigeria,4.4037,7.8287,0.04,2023,3.863,OIL,Okoro,Amni International,OFFSHORE,Small,39.92,95808.0,139720.0,1,259,2,138548.47,6.55
Nigeria,4.4038,7.8284,0.055,2012,5.325,OIL,Okoro,Amni International,OFFSHORE,Medium,55.04,132096.0,192640.0,1,259,2,,
Nigeria,4.3499,7.3122,0.066,2012,6.344,GAS,Ima Gas,Amni International,OFFSHORE,Medium,65.57,157367.99999999997,229494.99999999997,1,259,2,,
Nigeria,4.3488,7.3122,0.01,2016,0.962,GAS,Ima Gas,Amni International,OFFSHORE,Small,9.94,23856.0,34790.0,1,259,2,147154.2,-3.97
Nigeria,4.4036,7.8284,0.084,2020,8.139,OIL,Okoro,Amni International,OFFSHORE,Medium,84.12,201888.0,294420.0,1,259,2,148435.46,-4.79
Nigeria,4.4037,7.8287,0.067,2022,6.45,OIL,Okoro,Amni International,OFFSHORE,Medium,66.66,159984.0,233310.0,1,259,2,143452.57,-3.42
Nigeria,4.3498,7.3122,0.01,2017,0.924,GAS,Ima Gas,Amni International,OFFSHORE,Small,9.55,22920.0,33425.0,1,259,2,141317.04,-0.42
